simulation_time,run,customers_served,customers_not_served,average_wait_time
10,1,93,0,0.1502776569092503
10,2,97,1,0.15058922848047948
10,3,93,0,0.22218725084016708
10,4,89,3,0.09592349181496894
10,5,119,1,0.24831722709040677
10,6,97,1,0.25628522906992646
10,7,97,0,0.11439193085422121
10,8,113,0,0.379680803122913
10,9,107,0,0.20594142557607406
10,10,96,1,0.137235261137945
10,11,102,0,0.14639593672307658
10,12,115,0,0.2222299086924672
10,13,113,2,0.2857127303883056
10,14,105,0,0.12919394450522106
10,15,95,0,0.14962846567387025
10,16,97,0,0.12587908439447254
10,17,105,1,0.11118763256173862
10,18,91,0,0.21748732527103024
10,19,103,0,0.5975663258437914
10,20,99,0,0.1472368334402663
20,1,224,0,0.3086713470029898
20,2,206,1,0.2119874372075091
20,3,193,0,0.20667112065871568
20,4,216,0,0.16514777913043524
20,5,200,0,0.1498673096973849
20,6,209,1,0.19675270301484954
20,7,232,0,0.2589028204348232
20,8,207,3,0.21173147842134804
20,9,185,0,0.13744570714580642
20,10,229,0,0.19530818014144685
20,11,198,0,0.13163936462990689
20,12,224,7,0.21943209438922812
20,13,177,0,0.15601307667138128
20,14,202,1,0.37462380881432644
20,15,218,0,0.2481953117202202
20,16,215,0,0.2100801754362408
20,17,180,0,0.1204249383223223
20,18,197,7,0.12813843843641248
20,19,184,1,0.11234726310935182
20,20,231,0,0.22496875944839265
30,1,306,3,0.18913089962935534
30,2,310,0,0.21991692584765107
30,3,334,0,0.22460593566404455
30,4,299,0,0.21747884500472994
30,5,262,0,0.13538039205040442
30,6,278,0,0.21091264246701602
30,7,293,1,0.1769068701076327
30,8,299,0,0.161187932483981
30,9,308,5,0.2609794177708969
30,10,264,0,0.13529863294765604
30,11,303,8,0.34053499857298575
30,12,298,2,0.1755706471230537
30,13,257,3,0.1678812886991341
30,14,337,1,0.2251694921432834
30,15,307,0,0.17476193354373248
30,16,279,0,0.16224640972801466
30,17,271,0,0.13630705403812704
30,18,299,3,0.24794939631789803
30,19,338,0,0.25036919028727606
30,20,300,0,0.17813464401221368
40,1,420,0,0.21178428376427322
40,2,416,3,0.13451078336005826
40,3,378,1,0.15057234041513898
40,4,396,0,0.15369807338767286
40,5,432,3,0.27212824943873454
40,6,385,3,0.16285281145752006
40,7,417,4,0.21586248863671628
40,8,407,1,0.19548332143258101
40,9,406,0,0.1563880515452211
40,10,448,1,0.2233033333856496
40,11,385,0,0.21151571116881854
40,12,421,0,0.1949347317386076
40,13,381,2,0.20238803033914882
40,14,445,0,0.27868922874591046
40,15,393,0,0.3946270235410876
40,16,377,0,0.17434333668887325
40,17,392,0,0.20086486071176307
40,18,398,0,0.24828029016879144
40,19,422,1,0.25681386353646135
40,20,404,4,0.14122410548268627
50,1,533,0,0.17632078202594056
50,2,462,0,0.14630991338413163
50,3,523,0,0.19422160709244338
50,4,487,0,0.23030444646676584
50,5,465,0,0.1499753760286484
50,6,491,0,0.15527326923629609
50,7,481,1,0.15996403907777837
50,8,500,0,0.17557621078292834
50,9,502,0,0.2270408044208353
50,10,456,1,0.18942823476525505
50,11,451,1,0.16874155157144982
50,12,519,4,0.2269937486812287
50,13,497,3,0.21371192122825486
50,14,514,1,0.19937623886485764
50,15,514,3,0.2322168775742568
50,16,519,2,0.1649204598300739
50,17,500,3,0.1847246587872547
50,18,475,0,0.1758495664741796
50,19,502,1,0.20916447339599634
50,20,499,2,0.18254673617848424
60,1,584,0,0.1784170914678692
60,2,612,7,0.21026727762655978
60,3,540,0,0.13751601278379072
60,4,609,0,0.2136596407331441
60,5,613,0,0.2740079872900744
60,6,561,2,0.2077139016384559
60,7,571,0,0.1769086465529354
60,8,638,0,0.20840395401588652
60,9,559,2,0.16141990450756757
60,10,582,0,0.17421224406905886
60,11,575,4,0.18522802975777378
60,12,546,8,0.1787538366864696
60,13,595,0,0.171267401340922
60,14,611,3,0.19587643336463098
60,15,587,0,0.18944111833217078
60,16,579,9,0.1898123449842818
60,17,581,0,0.197246264157459
60,18,614,2,0.21701696580318774
60,19,562,0,0.15753787111720646
60,20,613,0,0.18193095749015803
70,1,667,0,0.1880026468728849
70,2,692,0,0.1470181242112811
70,3,730,0,0.2034432250838639
70,4,654,0,0.16609255908209983
70,5,702,0,0.1850726557911804
70,6,682,2,0.18449562319268106
70,7,668,4,0.22037511566688564
70,8,672,5,0.18976597102291326
70,9,672,0,0.17591684729844398
70,10,705,0,0.2192444330126833
70,11,704,0,0.25154443922555664
70,12,670,0,0.12331994089852605
70,13,674,0,0.2283433558894689
70,14,704,2,0.20263558462710368
70,15,728,0,0.19946305276111428
70,16,708,0,0.2007828250349984
70,17,718,0,0.1767270057695911
70,18,676,0,0.17888198348979445
70,19,664,2,0.2128563888602885
70,20,744,1,0.1726173780315201
80,1,851,0,0.23558594847758932
80,2,760,2,0.15595129284914044
80,3,853,2,0.17867893007403352
80,4,763,0,0.17601334642976219
80,5,828,11,0.1868440283832158
80,6,812,0,0.18194670705738464
80,7,807,8,0.30328014959302413
80,8,797,5,0.24353212968757731
80,9,822,0,0.2569151719133105
80,10,801,4,0.23834182493083228
80,11,793,0,0.2501626318932414
80,12,812,1,0.22462443738384927
80,13,846,0,0.18688023106506474
80,14,773,3,0.19550835312536166
80,15,794,4,0.1494060103716258
80,16,853,3,0.248735825526671
80,17,806,3,0.18971342751096837
80,18,805,4,0.19895610598692648
80,19,778,0,0.1923030909906211
80,20,788,0,0.1715724150348242
90,1,924,0,0.2459812904644532
90,2,881,4,0.1987943637349557
90,3,914,1,0.17222084957520178
90,4,894,3,0.22493654140564534
90,5,946,1,0.2147876146811687
90,6,870,0,0.1554000449672613
90,7,861,2,0.17478462914759968
90,8,830,0,0.1940778155651178
90,9,915,0,0.21451553871185314
90,10,907,1,0.23698422213316103
90,11,869,6,0.1794362540040775
90,12,899,3,0.16750746343433606
90,13,866,1,0.18901109658250903
90,14,850,0,0.16655381943961572
90,15,933,0,0.17796449474038323
90,16,849,0,0.17661870673226704
90,17,919,3,0.20538260910806452
90,18,892,0,0.2125440780661344
90,19,920,0,0.19116507425455706
90,20,896,0,0.2070320530718984
100,1,1008,2,0.1951692989652364
100,2,1020,2,0.2359065025405433
100,3,1018,0,0.1984279278991925
100,4,1023,0,0.2206035299914518
100,5,1003,5,0.18249554248469882
100,6,984,0,0.18450939162172791
100,7,989,12,0.16831844230964746
100,8,968,2,0.21013972298393824
100,9,1009,3,0.19348272093174512
100,10,1020,0,0.19629688814836244
100,11,1031,0,0.21597441058368855
100,12,1046,0,0.18572758944142811
100,13,994,0,0.1811448313497046
100,14,1068,0,0.3004981615500982
100,15,983,0,0.1529722357981828
100,16,976,5,0.18950024734221843
100,17,989,6,0.2050162605864803
100,18,1006,0,0.21599692708103765
100,19,999,0,0.23731309803373282
100,20,1016,2,0.21337596149531424
